doc_id,parte,capit,sent_num
114,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",5
115,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",6
116,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",7
117,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",8
118,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",9
119,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",10
120,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",11
121,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",12
122,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",13
123,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",14
124,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",15
125,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",16
126,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",17
127,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",18
128,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",19
129,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",20
130,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",21
131,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",22
132,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",23
133,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",24
