para_num,term_str,n
9,tiohil,1
9,tucumbalam,1
9,tzac,3
9,tzacal,1
9,tzacol,2
9,tzalatzoxel,1
9,tzi,4
9,v,1
9,va,1
9,vacamic,3
9,vach,9
9,vach;,3
9,vbac,1
9,vbi,3
9,vcayohic,1
9,vi,3
9,vinac,7
9,vinaquirizay,1
9,vla,2
9,vleu,1
9,vlih,1
9,vloc,5
9,vqux,2
9,vtiohil,2
9,xa,6
9,xac,1
9,xacca,1
9,xache,1
9,xahaxic,1
9,xban,1
9,xbanic,1
9,xcahixic,1
9,xcanao,1
9,xcha,1
9,xchau,1
9,xchicahoc,1
9,xchicaqueeh,1
9,xchitih,3
9,xcohic,1
9,xcotin,1
9,xcupin,1
9,xcut,2
9,xcutu,2
9,xcutuxic,1
9,xe,2
9,xebutic,1
9,xenauic,1
9,xepe,1
9,xeqha,1
9,xeqhauic,1
9,xere,1
9,xi,1
9,xiban,1
9,xixnau,1
9,xixnauic,1
9,xmayxic,1
9,xmuchulixic,1
9,xnohix,1
9,xoc,1
9,xohcamic,1
9,xohcoconic,1
9,xohitio,1
9,xohzach,1
9,xot,2
9,xpe,4
9,xqha,3
9,xqhari,1
9,xqhauic,2
9,xqohe,1
9,xquec,1
9,xquecumaric,1
9,xquichouic,1
9,xquix,1
9,xquixcati,1
9,xquixcatio,1
9,xrah,1
9,xticaric,1
9,xtio,1
9,xtucuuic,1
9,yacal,1
9,zaquiric,1
9,zibac,1
9,εaa,3
9,εaε,1
9,εol,1
10,abah,1
10,aham,1
10,ahbit,1
10,ahtzac,1
10,al,1
10,are,4
10,binibal,1
10,bit,1
10,butic,1
10,ca,1
10,cah,3
10,calibal,2
10,caqha,1
10,caquix,5
10,catiltotic,1
10,cazac,1
10,cazaquiroc,1
10,chacabal,1
10,che,1
10,chi,4
10,chic,2
10,chicalahoboc,1
10,chicatunoc,1
10,chicube,1
10,chinah,2
10,chumil,1
10,chuvach,1
10,chuvi,1
10,chuxoc,2
10,copon,2
10,cucobizah,1
10,cumal,1
10,cunimarizah,2
10,curi,1
10,curi:,1
10,cut,8
10,cuval,1
10,hubic,1
10,hun,1
10,ic,5
10,icouen,1
10,in,8
10,iquil,1
10,macu,1
10,maha,2
10,mahabi,1
10,mahaoc,1
10,mana,1
10,moymot,1
10,na,1
10,nabe,1
10,naipu,1
10,naual,1
10,naypu,1
10,nim,2
10,nimal,1
10,nu,5
10,nuvach,1
10,paque,1
10,poy,1
10,pu,3
10,puvac,3
10,qahol,1
10,qhari,1
10,qo,1
10,quehe,3
10,queheri,3
10,qui,1
10,quih,6
10,quihil,1
10,quiloc,1
10,quinel,1
10,quiqohe,1
10,quitzih,1
10,raxa,1
10,raxcauacoh,1
10,ri,4
10,rib,3
10,riquil,1
10,ronohel,1
10,rumal,5
10,rÿ,1
10,ta,9
10,tanoh,1
10,tocol,1
10,tzac,1
10,tzam,1
10,v,8
10,va,1
10,vach,4
10,vach:,1
10,vbac,1
10,vbi,1
10,vcub,1
10,ve,1
10,vi,6
10,vinac,6
10,vleu,2
10,vloc,1
10,vqoheic,1
10,vquih,1
10,vucub,3
10,vvach,1
10,vvachvleu,1
10,vvcub,1
10,vzac,1
10,vzaquetal,1
10,vzaquil,1
10,xa,5
10,xaui,1
10,xbanatahic,1
10,xbanic,1
10,xbutic,1
10,xcamic,1
10,xchacatahic,1
10,xchicabÿh,1
10,xe,1
10,xere,3
10,xic,1
10,xuraih,1
10,yamanic,1
10,zac,1
10,zachuluhuh,1
10,zaquil,3
11,ahpu,2
11,al,2
11,are,7
11,aεab,1
11,banol,1
11,ca,1
11,cabauil,1
11,cabichal,1
11,cabracan,3
11,cah,2
11,cahau,2
11,caib,2
11,camic,1
11,canabe,2
11,caquix,5
11,chi,4
11,chibantahoc,1
11,chica,1
11,chicac,1
11,chicacoh,1
11,chicatih,1
11,chicuri,1
11,chicut,2
11,chimalmat,1
11,chinebouic,1
11,chinvlih,1
11,chiqaze,1
11,chirechaah,1
11,chiri,2
11,chirih,1
11,chivinaquir,1
11,chizilab,1
11,chubano,1
11,chuch,2
11,chuchaxic,1
11,chuti,1
11,chuvach,2
11,chuvi,1
11,chuxoc,2
11,cual,1
11,cucacabeh,1
11,cul,1
11,cumal,2
11,curi,3
11,cut,5
11,e,3
11,he,1
11,huhun,1
11,huiub,4
11,huliznab,1
11,hun,4
11,huyub,1
11,in,3
11,inva,1
11,itzel,2
11,ixva,1
11,macamob,1
11,maha,1
11,maui,1
11,mavi,2
11,nabe,1
11,nima,1
11,nimac,1
11,nimarizabal,1
11,nimarizai,1
11,pe,1
11,puch,1
11,puvac,2
11,qahol,1
11,qaholab,5
11,que,1
11,quehe,3
11,qui,5
11,quib,1
11,quih,2
11,quinimal,1
11,quinomal,1
11,quitelen,1
11,quix,1
11,quiyou,1
11,quizoc,1
11,recha,1
11,ri,12
11,rib,1
11,rixoquil,1
11,ronohel,2
11,rumal,4
11,ta,4
11,v,10
11,vae,1
11,varal,1
11,vb,1
11,vbah,1
11,vban,1
11,vbaxic,1
11,vbi,4
11,vcab,2
11,vchacatahic,1
11,vi,6
11,viab,1
11,vinac,2
11,vinaquiric,1
11,vleu,3
11,vqahol,2
11,vqux,1
11,vtz,1
11,vucub,2
11,vvcub,4
11,vxe,1
11,xa,2
11,xaui,2
11,xavi,2
11,xbalanque,1
11,xcanul,1
11,xeqha,1
11,xit,1
11,xnohix,1
11,xqha,3
11,xqhari,1
11,xqolic,1
11,xquibano,1
11,xquicam,1
11,xquil,1
11,xquilo,1
11,xrah,1
11,ya,1
11,yamanic,1
11,yicoxic,1
11,zachic,1
11,zaquiric,1
11,zipacna,4
11,εaεal,1
12,ac,1
12,acalab,1
12,ahau,11
12,ahe,1
12,ahpu,3
12,ahqun,1
12,anim,1
12,apa,1
12,are,4
12,atalabe,1
12,atit,8
12,ba,2
12,bala,1
12,bano,1
12,be,1
12,ca,6
12,cabobal,1
12,cacabano,1
12,cacatocobah,1
12,cacaxuuic,1
12,cacaya,1
12,cachbilan,2
12,cachuiu,1
12,cachuiub,1
12,cacoxou,1
12,cacoxouic,1
12,cah,1
12,cahau,1
12,caib,8
12,cal,1
12,calibal,1
12,cama,1
12,camam,2
12,camic,1
12,caminac,1
12,camucunic,1
12,cap,1
12,caquix,20
12,cate,4
12,caubal,1
12,cax,1
12,caxol,1
12,caεab,1
12,cha,1
12,chacan,1
12,chacatahic,1
12,che,6
12,checevic,1
12,chel,2
12,chi,16
12,chibe,1
12,chic,15
12,chicacunah,1
12,chicavico,1
12,chicop,1
12,chicucah,1
12,chicunah,2
12,chila,1
12,chimalmat,3
12,chique,2
12,chiquech,1
12,chiquih,2
12,chire,1
12,chirech,1
12,chirihitac,1
12,chirilo,1
12,chita,1
12,chitocobah,2
12,chitzaiaba,1
12,chivech,1
12,chivelezah,1
12,chivih,1
12,chixeque,1
12,choquitahic,1
12,chu,1
12,chucaεate,1
12,chuch,1
12,chuchacuh,1
12,chui,3
12,chulo,1
12,churacuh,1
12,chuvach,2
12,chuvi,2
12,chuxe,2
12,chuxoc,1
12,chvach,1
12,co,1
12,cohtere,1
12,cu,8
12,cubi,1
12,cul,1
12,cumal,3
12,cunimac,1
12,cuq,1
12,curi,6
12,cut,27
12,cute,1
12,cutzin,1
12,cuval,2
12,e,8
12,eiah,2
12,ela,1
12,elezan,1
12,elic,3
12,hocombac,2
12,hu,3
12,huhun,1
12,huhunal,1
12,huluhuh,1
12,hun,8
12,hunahpu,4
12,hunhunahpu,2
12,hupir,1
12,hutaquih,1
12,huzuc,1
12,huzucu,1
12,ib,1
12,in,1
12,inaoh,1
12,intabacanih,1
12,itzel,1
12,itzucubal,1
12,ivachbilan,1
12,ixim,3
12,la,3
12,lal,5
12,lezah,1
12,ma,2
12,maba,1
12,macut,1
12,mahabi,2
12,maivalcval,1
12,mal,1
12,mam,1
12,mama,8
12,mana,1
12,matzamoh,1
12,maui,3
12,mi,7
12,mixiquivubah,1
12,na,2
12,nabe,2
12,nacut,1
12,nahpu,1
12,naipuch,1
12,naohinic,1
12,naqui,1
12,naquion,1
12,naquipa,1
12,nare,1
12,naual,2
12,nim,1
12,nima,2
12,nimarizabal,1
12,nimarizai,1
12,nu,6
12,nuvach,1
12,ocu,1
12,oh,4
12,omuch,1
12,oxih,2
12,pa,3
12,pah,1
12,pu,1
12,puch,2
12,puchi,1
12,punabeh,1
12,puvac,1
12,qaholab,7
12,qaholab;,1
12,qaxtoq,3
12,qhavic,1
12,qo,1
12,qoh,1
12,qu,1
12,que,3
12,quecazipah,1
12,queetzeyah,1
12,quehe,5
12,quelucuquila,1
12,quemel,1
12,quen,1
12,quexel,1
12,qui,12
12,quib,2
12,quicacalen,1
12,quichacatahic,1
12,quichibano,1
12,quicot,1
12,quih,1
12,quinaoh,1
12,quinechahic,1
12,quipa,1
12,quiri,1
12,quitzih,5
12,quix,2
12,quixcachbilahtah,1
12,quixpe,1
12,quixqha,1
12,racuh,1
12,raxcauacoh,1
12,re,5
12,recha,2
12,rechabal,1
12,ri,51
12,rib,3
12,rive,1
12,rizmal,1
12,rochoch,2
12,ru,1
12,rumal,10
12,ruq,3
12,ta,30
12,tacal,2
12,tah,2
12,tala,1
12,tapal,3
12,tere,1
12,tila,1
12,too,1
12,tzam,1
12,tzamal,1
12,tziz,1
12,tzucubei,1
12,v,9
12,vach,6
12,vachih,1
12,vae,1
12,varal,1
12,varam,1
12,vbac,6
12,vbanic,1
12,vbaxic,1
12,vbi,2
12,vcaam,1
12,vchi,2
12,vchicopil,2
12,vcoc,1
12,vcoxom,1
12,vcub,2
12,ve,4
12,vehe,1
12,vi,8
12,vinac,1
12,vla,3
12,vleu,2
12,vlo,1
12,vloc,4
12,vlotem,1
12,vnabe,1
12,vnimarizabal,1
12,vqhapa,1
12,vquexel,2
12,vquinomal,1
12,vqux,1
12,vteleb,1
12,vtz,4
12,vtzbala,3
12,vtzih,1
12,vtzlo,1
12,vub,1
12,vucub,2
12,vvach,3
12,vvcub,18
