para_id,H,I,A,F,B,E,D,G,C
70,4.13095638953278e-11,2.912163499474719e-51,8.963405931259391e-38,1.1585621482419154e-05,4.851089440139373e-67,3.062946197684632e-31,3.176611354905199e-45,0.0007205303278554505,0.01937787152144411
71,0.00650331579267563,1.0970210809337752e-21,5.971697718063452e-89,6.345460006054498e-36,1.0823403378623823e-63,5.896430981233165e-31,3.5950326869405175e-30,2.760591224657178e-45,0.0145030113627208
72,1.2037874212899851e-11,2.2524793486417763e-52,2.6715634186583683e-69,2.7914723144254396e-36,6.231533243249324e-56,5.280903332867569e-31,1.6678541723367417e-19,2.1479716683213714e-35,0.019785086955520673
73,5.23326661924808e-19,4.3855929140223214e-44,1.1482008454737648e-35,5.0160231686213686e-43,7.248054909747464e-37,2.3781358900121886e-27,1.1854342133570105e-05,2.18137592233296e-34,0.020466055037538074
74,5.582173837413658e-07,1.929869030195471e-37,2.0193443987750963e-33,4.3324067226797783e-11,1.2622020295579683e-34,0.002310918579455129,4.575013003530586e-19,0.007718696825212699,0.016325770745827736
75,1.754180356350499e-08,1.0733129681264398e-32,3.289961627597062e-51,3.43179807271034e-49,2.0561525621062447e-29,0.0019070956991798372,5.685439778623695e-17,0.00447580504484715,0.019924164356072763
76,0.004820141268070676,1.1764689586265089e-27,4.847367535011989e-17,0.002333604766779271,3.0656231103232805e-10,3.144701075446631e-05,0.001660723166396579,0.010544129909190526,0.0058226404067610975
77,0.02370207264156503,1.7368817344955148e-51,3.44700191531957e-80,2.5298918203004328e-23,1.0304714395126182e-68,3.999590517103538e-54,4.3395117476940336e-47,2.403230997486344e-36,1.3378568736934994e-37
78,0.0041830046874065,1.8555714616870302e-26,5.936390582416777e-35,2.849055707247661e-29,7.045005529406899e-40,8.203266823788015e-15,3.8102239193760946e-16,0.023584317767771163,5.338828373022202e-06
79,2.392509622831487e-08,1.6157037996629157e-51,3.8028869419788715e-82,2.308025924936233e-37,9.809552365918613e-47,6.384675596338368e-26,2.4682931457875713e-46,0.017322638589328948,6.045356585555596e-45
80,0.008726519182710548,2.651777413771345e-60,1.1333229785212654e-120,4.372308908163847e-43,2.09506621749208e-55,2.353795772510035e-29,1.2079528767517038e-24,0.013417224294104534,1.1614236481749314e-19
81,0.017845871869739675,3.739065115465824e-30,3.584936156961978e-64,6.904490257828158e-29,2.4162652248476795e-17,3.582408020996908e-35,1.2922574327234134e-14,0.011596102930795087,1.0604918830870387e-18
82,8.150193618783425e-10,2.1119440503553082e-39,4.2981788413080775e-58,6.895562057353896e-36,1.3736472637701691e-49,5.433460238694972e-13,1.746967884173423e-27,0.01731587527917281,1.1497171601197776e-21
83,0.00011078180802600275,3.7744900646101966e-48,3.1382152738915534e-46,6.299474887348981e-21,8.46656132352651e-45,2.5935215782082565e-31,2.0617327212027313e-36,0.021904327114475194,3.9348573927593885e-25
