doc_id,B,F,E,D,A,C
84,0.009830583663188222,8.06823227776781e-22,5.084146153418665e-26,6.1094825536584984e-27,1.4708132747657373e-31,1.28744639454761e-22
85,0.013000767585686496,1.82545624125063e-08,3.5691728663490797e-31,1.1907982471532348e-10,5.604243408914574e-26,8.422624467210066e-24
86,2.7394728696597625e-14,3.545930534288126e-23,2.1232555178944057e-24,0.010717939480949434,2.0030353345782455e-19,1.4120530389097118e-29
87,0.015191828321277264,1.9460172557768596e-23,4.439682394217082e-29,7.061730133747177e-13,1.6200053492320624e-23,3.7582582880935846e-23
88,0.0020866661764979678,5.486695315277643e-25,9.039365498350968e-24,1.0299133497625232e-16,0.01270012937641909,2.8244989309126825e-09
89,0.014240192464760904,3.860239101819704e-31,3.568801744480424e-24,9.627928265561108e-22,1.7084191231585681e-34,1.816032059076317e-33
90,0.020095462401932634,2.0363202138888761e-16,9.52529566959306e-12,4.832534928625941e-05,1.7521792466303628e-17,7.526817130667847e-12
91,0.021445358828417523,5.798236383758861e-16,1.3864135865337437e-05,5.347601509066197e-18,9.527534636405647e-22,1.851781386739755e-14
92,0.017738957963521935,2.5487931930189933e-06,0.0007474631189803853,0.003637164772999431,4.861885120861499e-07,7.001269803515128e-19
93,6.757736488089074e-16,3.996766884173165e-29,1.0548984832140387e-26,0.00957417749502795,1.3913343767069365e-30,1.0548988119276579e-33
94,1.2915231090467047e-06,3.395591230920859e-16,8.783298360048455e-16,0.001314267746277064,0.012697606728556327,0.0006224339609791245
95,1.2618023560861977e-22,1.4230963901020792e-15,1.2653858991775027e-17,1.96274267721296e-25,0.01519426635775778,9.596360594428793e-23
96,1.3772217332087426e-13,0.000757266208613216,3.6055474438868545e-31,9.759567599636294e-12,0.01935845624155748,3.1580278794262297e-20
97,4.599909114439269e-23,1.7073426301735517e-15,1.738954513490815e-36,2.232536206199096e-20,0.01048624507255107,1.983205797309616e-25
98,1.1383579751193535e-39,1.5164298715066625e-15,1.8884932193926878e-47,0.00798958357739902,4.858524287007617e-46,2.619655630208136e-42
99,2.0118381110989335e-18,0.005528014130936271,0.0006099689049085626,8.557990676737356e-07,0.014156012529936392,1.8494045905312595e-23
100,1.6603561129964707e-18,0.012727889420276754,1.7882896199048076e-14,1.2087225592226131e-09,1.7002662692711346e-24,6.52437742200208e-13
101,4.2230599714520094e-07,0.01364762755573855,1.6632631519514368e-28,4.7990259634731575e-22,4.3773912839690666e-13,4.710219495615518e-16
102,2.0871285508388377e-16,0.004137297765655168,7.045850153774892e-48,4.6466163827686734e-15,3.4090730158600027e-34,0.00801483566766578
103,0.002348689065740282,0.015546208629517194,4.4495147291118734e-26,4.928026537014957e-16,1.3058853179791167e-11,0.0001021040134228422
104,1.298668618653947e-34,0.00972245837029351,2.3293262151968946e-47,1.2396742975514807e-32,1.14476534196213e-37,6.443166886190681e-32
105,1.9937692919082797e-10,0.01697701168667921,1.5644402630408417e-17,9.880518457388203e-13,8.255674558125959e-19,3.036527024320844e-12
106,1.655309925839667e-31,0.0003334445785288029,7.311979999319265e-45,0.008954336027115853,1.4110075351965179e-34,9.855195486350017e-14
107,1.6626965983106477e-08,0.01719516576024685,1.0773610720813594e-25,1.106179134601845e-05,1.338380112486626e-16,8.743905779918276e-21
108,3.428407032804974e-16,0.0037119718222023805,1.5030599936874806e-25,0.012979163467914152,1.6734929308573654e-08,5.22728832797323e-16
109,2.2727320065191023e-24,0.013805293154283648,1.718423960087338e-42,2.3608382376208288e-20,4.06626974726106e-26,6.334546455883527e-30
110,1.5658153063793657e-21,0.011775081112793294,4.392440158430808e-31,1.0293216218311093e-08,2.4128301700596763e-22,4.1921462214259736e-31
111,8.976559066018622e-10,0.01904065603069294,4.234322446344199e-21,1.8577697683208242e-15,1.0422098017861882e-12,5.637377531198827e-20
112,1.3788636881570641e-08,0.010355952240499374,2.738589656829325e-37,9.493632721403667e-30,1.3187260588632333e-34,4.859811494964817e-16
113,3.316459448561202e-57,0.0049461722539972134,5.733941736001424e-44,8.557842155353395e-26,9.705680859793656e-50,1.738863362399561e-67
114,3.7757024126396785e-07,0.01396648715365628,1.9010205866517503e-27,3.134638829293985e-17,2.1267093421931007e-15,9.834960234289544e-18
115,2.8719458475849025e-17,0.010509835627692631,1.0091785024096204e-30,4.8863038297554824e-33,3.44786412435393e-29,1.2421178362682665e-24
116,0.0073825091629903875,0.004753253175309443,1.108180356020892e-31,1.2777343328571243e-23,9.207188606730177e-30,9.424757334446032e-08
117,2.4972411729339245e-11,0.0006612766413534336,7.789701714451707e-17,3.1353245437502017e-18,2.7076461425189695e-37,0.012039798794358327
