term_str,n,gloss
kaqaya,1,
kaqaya',2,
kaqayako,1,
kaqchekeleb',2,
kaqchikeleb',1,
kaqeta'maj,1,
kaqil,2,
kaqilo,2,
kaqix,42,
kaqixaja',1,
kaqlakan,1,
kaqlujluj,2,
kaqoykot,1,
kaqraxatzinik,1,
kaqruxruj,1,
kaqtarin,1,
kaqul,1,
kaqulja,2,
kaqwak'awoj,1,
kar,4,
karaj,4,
karajril,1,
karayij,2,
karchaj,1,
kareta'maj,1,
karil,1,
kasach,1,
kasaqpake',1,
kasariroq,1,
kasik'in,2,
kasik'inik,1,
kasik'iyaj,1,
kasik'ow,1,
kasik'owik,1,
kasilob'ik,1,
kasolowik,1,
kastilan,2,
kata',1,
katajin,2,
katana'ik,1,
katanik,1,
kataq'an,1,
katb'e,4,
katb'ek,2,
katcha'jik,1,
katchokonik,1,
katel,2,
katelik,1,
kati't,31,
katilo,1,
katilowik,1,
katiltotik,1,
katinik,1,
katk'ix,1,
katk'oje',2,
katk'ole',1,
katkamik,1,
katojo',1,
katok,3,
katopon,1,
katoponik,1,
katoq'ik,1,
katpe,2,
kattaqen,1,
kattzijonoq,1,
katukuwik,1,
katurur,1,
katwar,1,
katz,7,
katz'apitajik,1,
katz'ininik,1,
katz'ininoq,1,
katz'inonik,1,
katz'onon,1,
katzijon,1,
katzijonoq,1,
katzotzotik,1,
kawa'lijoq,1,
kawab'a',1,
kawachin,1,
kawachinik,1,
kawaj,1,
kawajin,1,
kawatepech,1,
kaweq,4,
kaweqib',1,
kawilo,4,
kawinal,1,
kawiqib',14,
kawisimaj,9,
kawistan,1,
kawtalik,1,
kawulij,1,
kawutal,1,
kawutalik,1,
kaxajowilab'ik,1,
kaxaqin,2,
kaxib'in,1,
kaxkon,1,
kaxojanik,1,
kaxtilan,1,
kayal,1,
kayala',2,
kayeyoj,1,
ke,61,
ke',1,
ke'ab'ix,1,
ke'ajawarik,1,
ke'apon,1,
ke'ati'o,1,
ke'atin,2,
ke'aya',1,
ke'ek'o,1,
ke'el,1,
ke'eleq'an,1,
ke'etz'apim,1,
ke'etzeyaj,1,
ke'ik'ow,2,
ke'ilik,2,
ke'ilitaj,1,
ke'iwil,1,
ke'ma,1,
ke'ok,1,
ke'okik,1,
ke'ominik,1,
ke'oponik,2,
ke'oq'ik,1,
ke'ucha'xik,3,
ke'uchaxik,10,
ke'ul,2,
ke'ulcha'j,1,
ke'ulcha'ja,1,
ke'ulik,5,
ke'utzin,2,
ke'uxi,1,
ke'uxik,1,
keb'anow,1,
keb'anowik,1,
keb'e,2,
keb'echakala,1,
keb'ek,1,
keb'eta'ataqa',1,
keb'etataqoq,1,
keb'etzukun,1,
keb'in,2,
keb'inik,1,
keb'inowik,1,
keb'iq'ow,1,
keb'olo,1,
keb'uchuwik,2,
keb'ujujik,1,
kech,35,
kech'ajonik,2,
kech'akix,1,
kech'aninik,2,
kech'aw,2,
kech'awik,1,
kech'ikitit,1,
kech'ititik,1,
kecha',30,
kecha'j,1,
kecha'jik,3,
kechakchot,1,
kechapon,1,
kej,24,
kejalow,2,
kejaslajik,1,
keje,145,
keje',6,
kejikik,1,
kejilowik,1,
kejnay,2,
kejoj,1,
kejumin,1,
kejuminik,2,
kek'a'm,1,
kek'ajolanik,1,
kek'aralajik,1,
kek'atonik,2,
kek'iritajik,1,
kek'ixb'ik,1,
kek'oje',1,
kek'ulutajik,1,
keka'y,1,
kekajb'ik,3,
kekamik,2,
kekamoq,3,
keke,1,
keki'kot,11,
keki'kotik,6,
kekikot,1,
kekuchmayjik,1,
kelajajik,1,
kelajik,1,
kelekowik,1,
keleq',1,
keletzu,1,
kelexlot,1,
kelik,1,
keloq'oxik,1,
keluklutik,1,
kelulutik,1,
keluq'ukila,1,
kema,1,
kemel,1,
kemewajik,4,
kemi'alanik,1,
kemixqariqo,1,
kemochochik,1,
kemuqun,1,
kemuqunik,2,
kenab'ax,1,
keneb'eb'ik,1,
kenik'notik,1,
keniknot,1,
kenumik,1,
kepaq'aq'ik,1,
kepe,2,
kepetik,2,
kepetoq,5,
kepolow,1,
kepoq'otajik,1,
keq'ab'ar,1,
keq'aq'al,1,
keq'aq'arik,1,
keq'aq'at,1,
keq'ichowik,1,
keqach'ak,3,
keqaj,1,
keqaka'yij,1,
keqakamisaj,2,
keqalem,3,
keqam,1,
keqamayjaj,1,
keqapusu,1,
keqasipaj,1,
keqatzukuj,2,
keqokib'ej,1,
kequch'aj,1,
keraj,1,
kerajaq'an,1,
kerajaq'anik,1,
keropop,1,
keselewachin,1,
kesiksot,1,
kesilaje'ik,1,
kesilob'ik,1,
keta'm,8,
keta'mab'al,1,
ketal,2,
ketamab'al,4,
ketaxik,1,
keterekotila',1,
keti'ow,1,
ketik'e',1,
