ent_str_norm,n,p,i,h,df,dfidf
HURACANTUCUR,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
CUX,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
AYUNABAN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
BELEHEBQUEH,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
ALEGRARONSE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
CREADORES,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
HOLI,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
IXMUCUR,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
BAIAMQUITZE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
AVUIX,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
TZACOL,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
SACRIFICADERO,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
CHOMIHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
TZUNUNIHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
CAQUIXAHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
CANASVIVAS,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
ACLARE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
QUIBAHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
BIEN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
BALAMACABMAHUCUTAH,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
UCHABAHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
TUHALHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
YACONTINUACION,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
CHAHAL,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
CENTRO,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
UOCAB,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
CHILE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
ASILESFUEDICHOALOSVENADOS,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
DELOSILOCAB,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
CAKCHIQUELES,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
QAHOLOM,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
FORMADORES,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
HUNBATZHUNCHOUEN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
VOLVIERONSE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
ALOM,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
VOLVIOSE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
YESTOSTRES,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
BITOL,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
