parte,capit,ent_str_norm,n
2,13,SACRIFICADNOS,1
2,13,SACRIFICAOS,1
2,13,SENOR,6
2,13,SENORES,10
2,13,SENORESDEXIBALBA,1
2,13,SENORESHUNCAME,1
2,13,SENORPRINCIPAL,1
2,13,SOLOPORUNPRODIGIO,1
2,13,TODOSLOSDEXIBALBA,1
2,13,TODOSLOSSENORES,1
2,13,UNINSTANTEDESPUESFUERESUCITADOELHOMBRE,1
2,13,VERDADERAMENTELLENODEALEGRIA,1
2,13,VUCUBCAME,5
2,13,XIBALBA,9
2,13,YACONTINUACION,1
2,13,YALDIASIGUIENTE,1
2,13,YNOLOSRESUCITARON,1
2,13,YPARAQUEOSVAYAIS,1
2,13,YUNSENOR,1
2,14,ALINSTANTECAYERONDERODILLAS,1
2,14,ALUNOLETOCOELSOL,1
2,14,CANAS,1
2,14,CANASVIVAS,2
2,14,CASA,1
2,14,CAZAMAHCHATAMULEU,1
2,14,CENTRO,2
