w0,w1,w2,n
recuerdo,de,vuestro,1
recuerdo,que,dejo,1
recuperado,el,brazo,1
recupero,su,brazo,1
red,,exclamo,1
red,,y,1
red,al,pie,1
red,como,mazorcas,1
red,de,maiz,1
red,grande,,1
red,se,lleno,1
redonda,de,la,1
redonda,de,pedernal,1
redondo,estaba,en,1
redondos,que,cubren,1
reduciremos,a,polvo,1
referiremos,su,estancia,1
reflexionabais,,por,1
reflexionaron,y,pensaron,1
refrenemos,un,poco,1
refugio,,</s>,1
regaban,la,sangre,1
regalaban,y,los,1
regalos,y,mercedes,1
regocijaron,por,lo,1
regresamos,,sanas,1
regresaron,,marchando,1
regresaron,a,la,1
regresaron,al,dia,1
regresaron,la,cuarta,1
regresaron,los,de,1
regreso,,</s>,1
regreso,entonces,a,1
regreso,hemos,cumplido,1
regreso,y,todas,1
reinaban,cuando,llego,1
reinado,de,los,1
reinado,fue,la,1
reinados,,desde,1
reinados,que,nacieron,1
reinar,ellos,solos,1
reinaron,,</s>,1
reinaron,alli,en,1
reinaron,el,rey,1
reinaron,y,dominaron,1
reino,,,1
reino,,</s>,5
reino,,no,1
reino,,y,1
reino,en,tiempo,1
reino,en,veinticuatro,1
reino,que,se,1
reino,tepepul,e,1
reino,y,todos,1
reinos,,aquel,1
reir,al,verlos,1
reir,de,nuevo,1
reir,ruidosamente,,1
reir,violentamente,,1
reiros,,</s>,1
reirse,,</s>,1
relacion,,el,1
relacion,de,como,1
relatado,primeramente,la,1
relativo,al,nacimiento,1
relato,de,como,1
relato,y,la,1
remontaron,el,vuelo,1
rencor,porque,los,1
rendian,tributo,,1
rendirse,a,causa,1
repartido,en,cuatro,1
repartieron,los,abuelos,1
repartieron,sus,moradas,1
repente,se,volvieron,1
repentina,,haciendoles,1
repentinamente,de,los,1
repiten,como,un,1
repitiendo,sus,mismos,1
replicaron,,</s>,1
replico,,</s>,2
replico,la,joven,2
reposo,,</s>,1
reposo,,el,1
reprendieron,,</s>,1
reprendieron,a,las,1
representaba,cada,uno,1
representacion,,el,1
representaron,el,baile,1
representartes,de,su,1
rescates,,trajeron,1
residencia,de,los,1
resina,,el,1
resina,,restos,1
resina,abundante,vino,1
respecto,a,ellos,1
respetable,senor,,2
respetables,senores,,1
respetados,por,ellos,1
respeto,el,dia,1
respetos,al,ahpop,1
respetuosos,,que,1
respiracion,y,el,1
resplandecia,por,obra,1
resplandeciente,,cuando,1
resplandeciente,que,tomo,1
resplandecientes,como,piedras,1
respondereis,,</s>,1
respondereis,cuando,pongais,1
respondieron,,</s>,1
respondieron,,que,1
respondieron,ixtah,e,1
respondio,,,1
respondio,la,vieja,1
respondio,tohil,,1
respuesta,,</s>,1
respuesta,a,balamquitze,1
restos,de,goma,1
restregaban,los,hocicos,1
resucitaba,el,otro,1
resucitado,,</s>,1
resucitado,,y,1
resucitado,el,hombre,1
resucitado,por,vosotros,1
resucitaran,despues,,1
resucitareis,,</s>,1
resucitaron,,</s>,3
resuelta,su,muerte,1
resultado,contra,el,1
resultado,de,la,1
resultara,si,labraremos,1
retire,y,desocupe,1
retonan,,,1
retonaron,,</s>,1
retonaron,,luego,1
retonaron,las,canas,1
retonaron,otra,vez,1
retorcian,del,dolor,1
reunanse,los,tres,1
reunian,en,el,1
reunian,para,oir,1
reunido,,pero,1
reunido,en,consejo,1
reunidos,,</s>,2
reunidos,los,nombres,1
reuniendo,y,agrupando,1
reunieron,a,esperar,1
reunieron,de,nuevo,1
reunieron,en,consejo,2
reunieron,en,gran,1
reunieron,en,todos,1
reunieron,todo,el,1
reunieron,todos,,1
reunieron,y,aumentaron,1
reunieron,y,se,1
reunieronse,alli,y,1
reunieronse,entonces,en,1
reunieronse,entonces,todos,1
reunieronse,todos,,1
reunion,de,todos,1
reunirse,con,su,1
reunirse,y,encontrar,1
revelacion,por,tzacol,1
reventandole,las,ninas,1
reverencias,y,humillandose,1
revivieron,,</s>,1
revoloteaban,en,la,1
revoloteando,,quilitz,1
revolvian,,se,1
revuelta,y,de,1
rey,,</s>,3
rey,,y,1
rey,cotuha,,5
rey,cotuha,e,1
rey,de,xibalba,1
rey,del,oriente,1
rey,del,quiche,2
rey,gucumatz,dio,1
rey,gucumatz,y,1
rey,iztayul,y,1
rey,prodigioso,,2
rey,prodigioso,llamado,1
rey,y,el,1
rey,y,la,1
rey,zope,,1
reyes,,</s>,6
reyes,,ambos,1
reyes,,fueron,1
reyes,,gag,1
reyes,,la,1
reyes,,pues,1
reyes,,y,1
reyes,a,quienes,1
reyes,cotuha,y,1
reyes,de,los,1
reyes,don,juan,1
reyes,oxibqueh,y,1
reyes,portentosos,,1
reyes,portentosos,gucumatz,2
reyes,portentosos,quicab,1
reyes,prodigiosos,,1
reyes,que,descendieron,1
ricas,y,su,1
riendose,,</s>,1
riendose,todos,los,1
rinas,,solo,1
rincon,,</s>,1
rincon,de,la,1
rincones,,como,1
rincones,,los,1
rincones,y,los,1
rindieron,todas,las,1
rio,,,1
rio,,</s>,4
rio,,a,1
rio,,al,1
rio,,alli,1
rio,,y,1
rio,comenzaron,a,1
rio,cuando,pasaron,1
rio,de,podre,1
rio,de,sangre,2
rio,donde,se,1
rio,muchas,veces,1
rio,que,corre,1
rio,que,corria,1
rio,solamente,de,1
rio,todos,los,1
rio,y,llegaras,1
rio,y,perforo,1
rio,y,quedaron,1
rios,,en,2
rios,,que,1
rios,y,barrancas,1
rios,y,en,1
riqueza,,</s>,1
riqueza,,concedeles,1
riqueza,de,sus,1
riqueza,y,dador,1
riquezas,,</s>,2
riquezas,de,vucubcaquix,1
riquezas,sus,piedras,1
risa,,</s>,2
risa,,se,1
risa,,y,1
risa,a,su,1
risa,de,la,1
risa,en,las,1
robaban,lo,que,1
robado,,pero,1
roban,a,los,1
robandolos,,ni,1
robar,lo,que,1
robar,nuestras,flores,1
robar,por,los,1
robarnos,nuestros,metales,1
robles,,el,1
robo,de,los,1
roca,,asi,1
rocas,,los,1
rocio,,cuando,1
rodeados,de,claridad,1
rodearon,toda,la,1
rodillas,,todos,1
roido,las,unas,1
roja,,alargaban,1
roja,en,su,1
roja,y,holomtucur,1
rojas,y,don,1
rojo,,</s>,2
rojo,,otro,1
rojo,,y,1
rojo,broto,del,1
rojo,de,grana,1
rojo,y,el,1
rojos,de,la,1
rompio,la,corteza,1
ron,las,tres,1
ropa,al,rio,1
ropas,que,les,1
ropas,que,ponerse,1
ropas,son,las,1
rostro,abrumado,de,1
rostro,avejentado,y,1
rostros,al,cielo,1
rostros,y,sus,1
rpimero,de,sus,1
ruego,encarecidamente,que,1
ruegos,,aquellos,1
rugido,del,leon,2
rugido,del,tigre,1
rugieron,el,leon,1
ruido,,</s>,1
ruido,en,el,2
ruido,ni,cosa,1
ruido,y,gritando,1
ruidosamente,,porque,1
ruina,,</s>,1
ruina,,os,1
ruina,de,la,3
ruina,de,los,1
rumbo,y,andaban,1
sabe,como,es,1
sabe,como,nacio,1
sabe,de,donde,1
sabeis,,</s>,1
sabeis,curar,,1
sabeis,quien,os,1
sabemos,,</s>,1
sabemos,hacer,es,1
sabemos,y,vemos,1
saben,,lo,1
saber,su,voluntad,1
sabes,con,certeza,1
sabia,cuando,los,2
sabia,donde,estaban,1
sabia,donde,habian,1
sabia,que,lo,1
sabia,todo,y,1
sabian,bien,que,1
sabian,hacer,,1
sabian,muy,bien,1
sabian,que,habian,1
sabian,si,se,1
sabian,su,condicion,1
sabian,tambien,balamquitze,1
sabian,tambien,que,1
sabian,todo,lo,1
sabiduria,,eran,1
sabiduria,,por,1
sabiduria,,su,1
sabiduria,de,un,1
sabiduria,en,la,1
sabiduria,y,todos,1
sabio,,el,1
sabio,o,de,1
sabio,o,del,1
sabios,,</s>,1
sabios,,de,1
sabios,,ios,1
sabios,,le,1
sabios,,y,1
sabios,consejos,os,1
sabios,eran,,1
sabios,vinieron,entonces,1
sabios,y,grande,1
sabra,y,resultara,1
sabreis,,pues,1
sabremos,lo,que,1
sabrosos,alimentos,habia,1
sabrosos,los,frutos,1
sacadlos,,venid,1
sacamos,el,gusano,1
sacando,un,poco,1
sacar,el,gusano,1
sacar,esos,dientes,1
sacar,todos,los,1
sacar,y,llevaros,1
sacar,y,traer,1
sacaremos,a,luz,1
sacaremos,sangre,de,1
sacarle,los,dientes,1
sacaron,ai,camino,1
sacaron,al,dios,1
sacaron,sangre,de,1
sacaronle,entonces,los,1
sacerdotes,,a,1
sacerdotes,,no,1
sacerdotes,y,sacrificad,1
sacerdotes,y,sacrificadores,21
saco,a,cuestas,1
saco,fuego,,1
sacri,ficaban,ante,1
sacrificaban,,,1
sacrificad,ores,por,1
sacrificadero,del,juego,2
sacrificadlo,,pero,1
sacrificadnos,,,1
sacrificado,por,ixbalanque,1
sacrificadores,,</s>,8
sacrificadores,,cuando,1
sacrificadores,,de,1
sacrificadores,,no,1
sacrificadores,,pero,1
sacrificadores,,solamente,1
sacrificadores,ante,tohu,1
sacrificadores,asi,llamados,1
sacrificadores,cuando,llegaban,1
sacrificadores,de,los,1
sacrificadores,de,tamub,1
sacrificadores,en,la,1
sacrificadores,estaban,arrodillados,1
sacrificadores,y,de,1
sacrificadores,y,estos,1
sacrificadores,y,les,1
sacrificados,,,1
sacrificados,,</s>,1
sacrificados,,dijeron,1
sacrificados,ante,el,1
sacrificados,los,dos,1
sacrificados,y,matados,1
sacrificaos,ahora,a,1
sacrificar,,senores,1
sacrificar,ante,tohil,1
sacrificar,aqui,,1
sacrificar,lejos,de,1
sacrificaran,a,todas,1
sacrificarla,,</s>,1
sacrificarlos,,los,1
sacrificarme,,,1
sacrificaron,,</s>,1
sacrificaron,al,que,1
sacrificaron,ante,tohil,1
sacrificaron,en,seguida,1
sacrificaron,y,los,1
sacrificio,,o,1
sacrificios,,</s>,1
sacrificios,,este,1
sacrificios,a,sus,1
sacrificios,al,pie,1
sacrificios,ante,tohil,1
sacrificios,de,los,1
sacrificios,y,quemaban,1
sacrifiquemoslos,manana,,1
sacudir,las,montanas,1
sacudireis,en,las,1
sacudo,el,cielo,1
sal,corriendo,inmediatamente,1
sal,de,aqui,1
sala,del,consejo,1
saldra,parecido,a,1
saldran,vuestros,munecos,1
sale,el,sol,1
sale,primero,delante,2
salga,el,sol,1
salgan,aca,por,1
salgan,bien,nuestros,1
salgo,frente,a,1
salia,,no,1
salida,de,la,2
salida,de,sus,1
salida,de,tulan,1
salida,del,sol,4
salido,bien,,1
salido,lo,que,1
saliendo,de,xibalba,1
saliera,el,sol,2
salieron,a,luz,1
salieron,a,sus,1
salieron,a,vigilar,1
salieron,de,alli,1
salieron,de,cada,1
salieron,de,la,2
salieron,de,nuevo,1
salieron,entonces,todos,1
salieron,los,vigias,1
salieron,los,zanganos,1
salieron,vencidos,por,1
salimos,juntos,y,1
salio,al,encuentro,1
salio,al,instante,1
salio,el,sol,1
salio,fue,tohil,1
salio,muy,buena,1
salio,primero,con,1
salio,primero,delante,1
salio,se,llenaron,1
saliose,en,seguida,1
salir,,</s>,1
salir,de,su,1
saliva,,</s>,1
saliva,de,la,1
saliva,le,corrian,1
saliva,que,fue,1
saliva,y,la,1
saliva,y,mi,1
saltando,,y,1
saltando,por,todo,1
salto,se,dirigio,1
saltos,al,llegar,1
salud,,ahal,1
salud,,ahalcana,1
salud,,chamiabac,1
salud,,chamiaholom,1
salud,,cuchumaquic,1
salud,,huncame,1
salud,,patan,1
salud,,quicrixcac,1
salud,,quicxic,1
salud,,quiere,1
salud,,vucubcame,1
salud,,xiquipat,1
salud,,y,1
saludad,al,senor,1
saludar,,,1
saludarlos,y,darles,1
saludaron,primero,,1
salvacion,,,1
salvar,a,sus,1
salvaron,alla,en,1
salvaron,de,entre,1
salvarse,,</s>,1
salvo,dentro,del,1
sanas,recomendaciones,y,1
sangraros,las,orejas,1
sangre,,</s>,6
sangre,,a,1
sangre,,de,1
sangre,,donde,1
sangre,,la,1
sangre,,ni,1
sangre,,que,1
sangre,,tened,1
sangre,a,la,1
sangre,al,coagularse,1
sangre,brotaba,la,1
sangre,coagulada,y,1
sangre,de,las,2
sangre,de,los,5
sangre,de,vivo,1
sangre,del,hombre,1
sangre,en,el,1
sangre,en,reposo,1
sangre,habia,sido,1
sangre,o,sea,1
sangre,porque,a,1
sangre,sera,de,1
sangre,y,en,1
sangre,y,la,1
sangre,y,lo,1
sangre,y,que,1
sangre,y,solo,1
sangre,y,su,1
sanos,,</s>,1
sanos,cuando,amanecio,1
sanos,salieron,de,1
santa,cruz,,1
sapo,,</s>,8
sapo,,en,1
sapo,,y,1
sapo,a,la,1
sapo,al,piojo,2
sapo,camino,mucho,1
sapo,los,muchachos,1
sapo,zaquicaz,,1
sapos,,</s>,1
saqueis,los,dientes,1
satisfecho,,</s>,1
savia,del,arbol,2
savia,en,lugar,1
savia,que,corria,1
savia,se,le,1
se,abrianlas,montanas,1
se,acabaran,sus,1
se,acabaron,,2
se,acabo,de,1
se,acerca,el,1
se,acercaba,la,1
se,acercan,el,1
se,acercaron,al,1
se,acercaron,y,1
se,acerco,a,1
se,acordaban,de,3
se,acordaban,del,1
se,acordaron,de,1
se,acostumbraron,a,1
se,acuerde,de,1
se,admiraba,grandemente,1
se,admiraban,de,1
se,afirme,,1
se,agitara,,1
se,agruparon,bajo,1
se,ahogaron,y,1
se,alegraban,cuando,1
se,alegraron,a,1
se,alegraron,balamquitze,1
se,alegraron,cuando,1
se,alegraron,grandemente,1
se,alegraron,los,1
se,alegraron,porque,1
se,alegraron,tambien,1
se,alegraron,todos,1
se,alegren,nuestras,1
se,alegrograndemente,cuando,1
se,alejaban,hasta,1
se,alejaran,de,1
se,alimentaban,cuando,1
se,alimentaban,de,1
se,alimentaban,unicamente,1
se,aliviaron,y,1
se,allegaron,a,1
se,altero,el,1
se,alumbro,la,1
se,amedrentaban,los,1
se,amontonaban,,1
se,apago,a,1
se,aparecian,,1
se,apoderaron,de,2
se,apoderaron,del,1
se,apodero,de,1
se,apodero,ixbalanque,1
se,armaron,de,1
se,arrancaron,de,1
se,arrano,,1
se,arrojaran,las,1
se,arrojaran,sobre,1
se,arrojaron,directamente,1
se,avergonzaron,al,1
se,banaba,tohil,1
se,banaban,a,1
se,banan,en,1
se,busco,lo,1
se,caia,,1
se,caian,y,1
se,caigan,en,1
se,calentaron,,2
se,calmaba,la,1
se,cambio,la,1
se,cansaban,de,1
se,cerraban,ante,1
se,coagulo,alli,1
se,comenzaran,a,1
se,comio,,1
se,completaron,los,1
se,componian,de,1
se,congregaron,y,1
se,conoce,la,1
se,conoce,tambien,1
se,consolo,su,1
se,consumiera,el,1
se,consumieron,los,1
se,consumio,,1
se,convertia,en,4
se,convirtieron,en,4
se,convirtieron,estos,1
se,convirtieron,igualmente,1
se,criaron,en,1
se,cubrio,de,3
se,cuenta,que,1
se,daba,por,1
se,daban,cuenta,1
se,debe,a,1
se,debemos,perecer,1
se,dejan,ver,1
se,dejaron,,1
se,derrame,su,1
se,derrumbo,el,1
se,descorazonaron,los,1
se,deshacia,,1
se,despedazaban,a,1
se,despidieron,,3
se,despidieron,de,4
se,despidieron,y,1
se,detuvieron,,1
se,detuvieron,aguardando,1
se,detuvo,,1
se,dice,,1
se,dice,en,1
se,dice,que,1
se,dieron,a,1
se,dieron,cuenta,1
se,dieron,entre,1
se,dijeron,entre,2
se,dijeron,los,1
se,dijo,,1
se,dio,a,1
se,dirigia,rapidamente,1
se,dirigian,a,2
se,dirigian,al,1
se,dirigieron,al,2
se,dirigieron,balamquitze,1
se,dirigieron,hacia,1
se,dirigio,hasta,1
se,dispuso,asi,1
se,dispuso,hacer,1
se,disputaban,los,1
se,distinguia,la,1
se,distribuyeron,en,1
se,distribuyeron,sus,1
se,divertian,jugando,1
se,dividieran,y,1
se,dividieron,,1
se,dividieron,en,1
se,dividieron,las,2
se,diviertan,aqui,1
se,donde,se,1
se,echaba,los,1
se,echaron,a,1
se,echo,a,4
se,echo,astillas,1
se,echo,encima,1
se,elevaron,al,1
se,emborracharon,todos,1
se,empanaron,como,1
se,emparentaron,cuando,1
se,encaminaron,al,1
se,encolerizaban,y,1
se,encontraba,vucubcaquix,1
se,encuentra,en,1
se,encuentran,,1
se,enfurecieron,hunbatz,1
se,enfurecio,la,1
se,engendro,solo,1
se,engrandecieron,,1
se,engrandecieron,acausa,1
se,engrandecio,el,1
se,engrandecio,y,1
se,enojaban,,1
se,enorgullece,,1
se,enorgullecia,,1
se,enorgulleciera,,1
se,enrojece,el,1
se,ensalzaron,a,2
se,ensancharon,tambien,1
se,ensoberbecieron,y,1
se,ensucio,asimismo,1
se,enternecio,ixmucane,1
se,entregan,al,1
se,entregaron,,1
se,entregaron,los,1
se,entregaron,todos,1
se,entretenian,en,1
se,envanecia,como,1
se,escapaban,despedian,1
se,escondieron,,1
se,espantan,de,1
se,estaba,banando,1
se,estaba,muriendo,1
se,establecieron,,2
se,establecieron,donde,1
se,estan,acabando,1
se,estuvieron,pegados,1
se,extendia,sobre,1
se,extendio,su,1
se,extingue,ni,1
se,extinguio,su,1
se,formaron,la,1
se,formo,,1
se,formo,una,2
se,fotalecio,su,1
se,fue,,1
se,fue,directamente,1
se,fue,el,1
se,fue,en,2
se,fue,para,1
se,fue,saltando,2
se,fue,vucubcaquix,1
se,fueron,,4
se,fueron,a,6
se,fueron,al,2
se,fueron,alla,1
se,fueron,corriendo,1
se,fueron,de,3
se,fueron,en,1
se,fueron,entonces,1
se,fueron,hunhunahpu,1
se,fueron,los,2
se,fueron,otra,1
se,fueron,sobre,1
se,fueron,sus,1
se,fueron,todas,1
se,fuerona,fortificar,1
se,fundo,alli,1
se,ha,conseguido,1
se,ha,cubierto,1
se,ha,ido,1
se,ha,podido,1
se,ha,terminado,1
se,ha,vuelto,1
se,habia,acabado,2
se,habia,apagado,1
se,habia,comenzado,1
se,habia,cortado,1
se,habia,manifestado,1
se,habia,metido,1
se,habia,puesto,1
se,habia,quedado,2
se,habia,roido,1
se,habia,transformado,1
se,habia,vuelto,1
se,habian,desnudado,1
se,habian,ensoberbecido,1
se,habian,juntado,1
se,habian,multiplicado,1
se,habian,vuelto,2
se,hacian,uno,1
se,haga,,1
se,haga,una,1
se,hallaba,sumergida,1
se,hallaban,,1
se,hallaban,en,1
se,hallaban,juntos,1
se,han,acabado,1
se,han,burlado,1
se,han,de,1
se,han,entregado,2
se,han,ido,1
se,han,juntado,1
se,han,quedado,1
se,han,reunido,1
se,hara,para,1
se,haria,la,1
se,haya,agachado,1
se,hereda,,1
se,hicieron,cuando,1
se,hicieron,los,1
se,hincho,,1
se,hizo,,2
se,hizo,de,1
se,hizo,en,1
se,hizo,la,3
se,hizo,mucho,1
se,hizo,para,1
se,hizo,su,1
se,hizo,una,1
se,hubiera,ido,1
se,hubieran,levantado,1
se,hubieran,vuelto,2
se,humedecio,dentro,1
se,humillaron,y,1
se,humillo,entonces,1
se,iban,dorando,1
se,iban,reuniendo,1
se,identificaron,,1
se,ilumina,cuando,1
se,ilumino,la,1
se,imaginaban,que,1
se,inclinaron,hacia,1
se,internaron,en,1
se,interno,por,1
se,introducen,entre,1
se,introduzca,el,1
se,juntaban,cuatro,1
se,juntaban,las,1
se,juntaron,,1
se,juntaron,alli,1
se,juntaron,para,1
se,juntaron,y,1
se,junten,la,1
se,junto,con,1
se,la,dareis,1
se,la,llevase,1
se,la,pusieron,1
se,la,vimos,1
se,lamenta,vuestra,1
se,lamentaba,frente,1
se,las,arrancaron,1
se,las,arrojaran,1
se,le,abra,1
se,le,antojaron,1
se,le,dieron,1
se,le,habian,1
se,le,hacia,1
se,le,iba,1
se,le,llama,2
se,le,llenaba,1
se,le,prendian,1
se,le,veia,1
se,les,arrancara,1
se,les,dijo,1
se,les,dio,1
se,les,escapara,1
se,les,habrian,1
se,les,llama,1
se,les,llamaba,1
se,les,pusieron,1
se,les,ve,1
se,les,volvieron,1
se,les,volvio,1
se,levanta,muy,1
se,levantaba,continuamente,1
se,levantaron,en,1
se,levantaron,la,1
se,levantaron,todos,1
se,levantaron,y,1
se,levante,,1
se,levanto,y,1
se,libro,la,1
se,llama,,1
se,llama,ahora,1
se,llama,caculha,1
se,llama,camacu,1
se,llama,chipixab,1
se,llama,chuganal,1
se,llama,hunaphuqoy,1
se,llama,huracan,1
se,llama,icoquih,1
se,llama,jicaro,1
se,llama,mexico,1
se,llama,motz,1
se,llama,muerte,1
se,llama,patohil,1
se,llama,quektzu,1
se,llama,santa,1
se,llama,zaquiribal,1
se,llamaba,avilix,1
se,llamaba,cabracan,1
se,llamaba,cahauupom,1
se,llamaba,caviztanpom,1
se,llamaba,chamalcan,1
se,llamaba,chimalmat,1
se,llamaba,chiracan,1
se,llamaba,el,6
se,llamaba,este,1
se,llamaba,hacavitz,1
se,llamaba,hunahpu,1
se,llamaba,hunbatz,1
se,llamaba,ixbaquiyalo,1
se,llamaba,ixquic,1
se,llamaba,la,5
se,llamaba,mixtanpom,1
se,llamaba,nimxob,1
se,llamaba,por,1
se,llamaba,qoahau,2
se,llamaba,tziquinaha,1
se,llamaba,una,1
se,llamaba,vucubcaquix,1
se,llamaba,zaquicaz,1
se,llamaba,zipacna,1
se,llamaban,ahalpuh,1
se,llamaban,el,1
se,llamaban,estos,1
se,llamaban,hunhunahpu,1
se,llamaban,las,1
se,llamaban,los,2
se,llaman,hoy,1
se,llaman,hunahpuvuch,1
se,llaman,hunbatz,1
se,llaman,tepeu,1
se,llaman,yaquis,1
se,llamana,el,1
se,llamaron,,1
se,llamaron,y,1
se,llame,a,1
se,llamo,tierra,1
se,llenaban,de,1
se,llenaron,de,8
se,llenaron,en,1
se,llene,el,1
se,lleno,completamente,1
se,lleno,de,5
se,llevo,de,1
se,lo,dieron,1
se,lo,echo,1
se,lo,puso,1
se,lo,tragaba,1
se,lo,trago,1
se,los,abrieran,1
se,los,comian,2
se,los,comio,1
se,los,llevaban,1
se,manifestaba,la,1
se,manifestara,la,1
se,manifestaron,,1
se,manifestaron,las,1
se,manifesto,,1
se,manifesto,con,1
se,manifesto,cuando,1
se,manifesto,la,1
se,mantenian,solos,1
se,marchaban,llevandolas,1
se,marcharon,alegremente,1
se,marcharon,llevando,1
se,marcharon,los,2
se,marcharon,todos,1
se,mataban,el,1
se,me,ha,1
se,me,menean,1
se,meneo,y,1
se,metieron,todos,1
se,mofaban,,1
se,moria,el,1
se,morian,de,3
se,morian,y,1
se,mostraban,,1
se,movia,,2
se,moviera,,1
se,movieron,los,1
se,movieron,mas,1
se,muele,la,1
se,multiplican,cuando,1
se,multiplicaron,,4
se,multiplicaron,alla,2
se,multiplicaron,los,1
se,multiplicaron,se,1
se,multiplicaron,y,1
se,multipliquen,y,1
se,negaban,a,1
se,niega,a,1
se,nos,ha,4
se,nos,hablo,1
se,ocupaba,en,1
se,ocupaban,en,1
se,ocupaban,solamente,2
se,originaron,estos,1
se,origino,su,1
se,os,llevara,1
se,os,preguntara,1
se,os,pregunte,1
se,oscurecio,la,1
se,ostentaba,la,1
se,parece,al,1
se,parecian,al,1
se,paro,sobre,1
se,paseaba,buscando,1
se,perderan,,1
se,perdieran,,1
se,perdieron,las,1
se,perdio,,1
se,perdio,su,1
se,perfecciono,la,1
se,pierde,cuando,1
se,pintaban,y,1
se,podia,contar,1
se,ponen,a,1
se,ponian,a,1
se,precipitaron,en,1
se,precipitaron,sobre,1
se,prendieron,de,1
se,presentaba,cada,1
se,presentaron,dos,1
se,presento,un,1
se,probaran,nuestro,1
se,propagan,,1
se,propagaron,y,1
se,proponen,con,1
se,prosternaron,y,1
se,pudo,conseguir,1
se,pudo,lograr,1
se,pudo,sostener,1
se,pudra,,1
se,puede,tapar,1
se,punzaban,las,1
se,pusieron,a,7
se,pusieron,de,3
se,pusieron,en,5
se,pusieron,los,1
se,pusieron,muy,1
se,pusieron,todos,1
se,puso,a,2
se,puso,el,2
se,puso,en,2
se,quedaba,lejos,1
se,quedaban,pensativos,1
se,quedara,en,1
se,quedaron,alli,1
se,quede,atras,2
se,quede,colgado,1
se,quedo,admirada,1
se,quedo,alla,1
se,quedo,fijo,1
se,quedo,mahucutah,1
se,quedo,mirando,1
se,quemaron,,3
se,quisieron,engrandecer,1
se,quito,el,1
se,quito,las,1
se,realizo,la,1
se,regocijaron,por,1
se,repartieron,los,1
se,repiten,como,1
se,restregaban,los,1
se,retire,y,1
se,retorcian,del,1
se,reunian,en,1
se,reunian,para,1
se,reunieron,a,1
se,reunieron,de,1
se,reunieron,en,4
se,reunieron,todo,1
se,reunieron,todos,1
se,reunieron,y,2
se,revolvian,,1
se,rindieron,todas,1
se,roban,a,1
se,rompio,la,1
se,sabe,como,2
se,sabia,cuando,2
se,sabia,donde,2
se,sabra,y,1
se,sacaron,sangre,1
se,sacrificaron,,1
se,salia,,1
se,salvaron,de,1
se,secan,,1
se,secaron,cuando,1
se,seco,la,1
se,sentaran,en,1
se,sentia,muy,1
se,separaron,,1
se,separaron,porque,1
se,sintio,avergonzado,1
se,sopla,sobre,1
se,soportaba,su,1
se,subia,a,1
se,sucedian,unos,1
se,tenia,de,1
se,termine,la,1
se,tragan,a,1
se,trago,al,1
se,trago,el,1
se,trajo,la,1
se,tranquilizara,nuestro,1
se,tuvo,entonces,1
se,van,,1
se,vanagloriaba,de,1
se,vayan,con,1
se,vayan,por,1
se,ve,el,1
se,ve,en,1
se,ve,que,1
se,veia,claramente,2
se,veia,el,1
se,veia,la,1
se,veian,extenuados,1
se,velaron,y,1
se,vinieron,,1
se,vinieron,para,1
se,vino,al,2
se,vino,derecho,1
se,vio,claramente,1
se,vio,cuando,1
se,vio,que,1
se,vistan,con,1
se,vistieron,y,1
se,volvia,serpiente,1
se,volvieran,unos,1
se,volvieron,animales,1
se,volvieron,companeros,1
se,volvieron,monos,1
se,volvieron,sus,1
se,volvio,comida,1
sea,,,2
sea,,continuad,1
sea,,y,1
sea,,yo,1
sea,asi,cuando,1
sea,buena,la,1
sea,el,mando,1
sea,el,sapo,1
sea,la,ofrenda,1
sea,la,savia,1
sea,labrada,por,1
sea,los,instrumentos,1
sea,molido,,1
sea,nuestro,dios,1
sea,pronto,,1
sea,quemado,ante,1
sea,resucitado,por,1
sea,tambien,vencido,1
sea,unas,plumas,1
seamos,adorados,,1
seamos,invocados,,1
seamos,recordados,por,1
seamos,sacrificados,,1
sean,condenados,por,1
sean,esposas,y,1
sean,felices,,1
sean,hijos,de,1
sean,los,tres,1
sean,obedientes,,1
sean,verdaderamente,hermosas,1
seas,mi,nuera,1
seca,,en,1
seca,,y,1
seca,por,falta,1
secan,,esa,1
secaron,cuando,los,1
secarse,,</s>,1
secas,,secos,1
seco,la,superficie,2
secos,sus,pies,1
secreto,de,la,1
secreto,y,cubriendose,1
sed,,id,1
sed,,le,1
seguian,a,cada,1
seguian,a,estas,1
seguian,dando,gritos,1
seguian,riendose,,1
seguid,sus,huellas,1
seguida,,</s>,1
seguida,,bien,1
seguida,,llevando,1
seguida,,mientras,1
seguida,,pero,1
seguida,,puesto,1
seguida,,salio,1
seguida,,y,1
seguida,a,colgar,1
seguida,a,las,1
seguida,a,su,1
seguida,acabaron,de,1
seguida,al,gavilan,1
seguida,amanecio,y,1
seguida,ante,los,1
seguida,arrojadlos,al,1
seguida,bajaron,a,1
seguida,bajo,al,1
seguida,cambiaron,la,1
seguida,comenzaron,a,3
seguida,comenzaron,de,1
seguida,comenzo,a,1
seguida,comieron,,1
seguida,con,estruendo,1
seguida,de,deseo,1
seguida,desaparecieron,alla,1
seguida,desenvolvieron,el,1
seguida,dieron,su,1
seguida,dijeron,,1
seguida,dijeron,sus,1
seguida,entraron,en,1
seguida,entraron,los,1
seguida,entraron,todos,1
seguida,fue,el,1
seguida,fue,la,1
seguida,fueron,a,3
seguida,fueron,aniquilados,1
seguida,hicieron,un,1
seguida,hunahpu,e,1
