term_str,token_str,stop,vnorm
perfeccionó,perfeccionó,False,17.665318
ocupar,ocupar,False,30.925293
limpiaron,limpiaron,False,26.67325
formaron,formaron,False,31.820337
chimalmat,Chimalmat,False,0.0
estarás,estarás,False,32.73467
cerbatanas,cerbatanas,False,14.960694
pies,pies,False,41.031437
músicos,músicos,False,32.525623
llegaremos,llegaremos,False,26.27108
estaríamos,estaríamos,False,28.560974
vivas,vivas,False,29.849363
tigres,tigres,False,22.547935
mercedes,mercedes,False,19.220037
caminaba,caminaba,False,26.305115
gritaba,gritaba,False,29.076136
alimento,alimento,False,29.29309
llorar,llorar,False,28.027075
ponérselas,ponérselas,False,14.448664
sigue,Sigue,True,26.584894
sé,sé,True,70.88061
hombro,hombro,False,27.771948
relato,relato,False,27.987623
queremos,queremos,True,31.796587
ganadoy,ganadoy,False,0.0
despojada,despojada,False,19.044817
regresaron,regresaron,False,27.070068
orejas,orejas,False,28.714226
venzan,venzan,False,21.547945
desaparecido,desaparecido,False,19.755333
historias,historias,False,28.819235
dejéis,dejéis,False,23.02226
estuvo,estuvo,True,37.31287
pasada,pasada,True,25.699127
limitada,limitada,False,24.535841
retorcían,retorcían,False,18.454147
a,A,True,82.89904
hallaban,hallaban,False,30.996231
servidumbre,servidumbre,False,19.004787
repitiendo,repitiendo,False,20.919077
llevadla,llevadla,False,0.0
soltaron,soltaron,False,27.320473
preparar,preparar,False,26.19063
se,Se,True,106.928825
aprox,aprox,False,21.416012
dormirse,dormirse,False,24.112978
mostraban,mostraban,False,30.642113
largo,largo,True,36.70575
fuerona,fuerona,False,0.0
engrandecimiento,engrandecimiento,False,17.30777
tambores,tambores,False,24.14764
dormir,dormir,False,28.788849
muriésemos,muriésemos,False,0.0
luego,Luego,True,29.002651
suspendieron,suspendieron,False,23.842978
pahac,pahac,False,0.0
ya,Ya,True,76.70586
cayó,cayó,False,41.92696
space,space,False,23.927065
magnífico,Magnífico,False,15.690594
maíz,maíz,False,36.50606
dotes,dotes,False,37.378235
anoche,anoche,False,23.331558
a,a,True,77.24405
ponerlo,ponerlo,False,28.18693
hágase,Hágase,False,18.076834
reinaban,reinaban,False,28.974762
tecpán,Tecpán,False,13.7991495
chigag,Chigag,False,0.0
