"Imagen principal","Tipo","Nombre","Nombre analítico","Ximenez spelling","Analytical name",""
"","persona","K'okamel (gen. 7)","K'OKAMEL_AKSIETE","Cocamel","K'OKAMEL_AKSIETE","edit"
"","persona","Wuqub' Aj (gen. 6)","WUQUB'_AJ_AKSEIS","Vucubah","WUQUB'_AJ_AKSEIS","edit"
"","persona","Komajkun (gen. 5)","KOMAJKUN_AKCINCO","comah cun","KOMAJKUN_AKCINCO","edit"
"","persona","K'okosom (gen. 4)","K'OKOSOM_AKCUATRO","Cocozom","K'OKOSOM_AKCUATRO","edit"
"","persona","Q'aq' Laqam (gen. 3)","Q'AQ'_LAQAM_AKTRES","Caelacan","Q'AQ'_LAQAM_AKTRES","edit"
"","persona","Yakolatam","YAKOLATAM","Yacolatam","YAKOLATAM","edit"
"","oficio","Ajaw Awilix","AJAW_AWILIX","ahau aulix","AJAW_AWILIX","edit"
"","persona","Don Pedro de Robles (gen. 13)","DON_PEDRO_DE_ROBLES_NJTRECE","D. Pedro de robles ahau ꜫalel","DON_PEDRO_DE_ROBLES_NJTRECE","edit"
"","persona","Ajaw K'otuja (gen. 11)","AJAW_K'OTUJA_NJONCE","Ahau cotuha, Don christoual chuchaxic","AJAW_K'OTUJA_NJONCE","edit"
"","persona","Ke'ema (gen. 10)","KE'EMA_NJDIEZ","queema","KE'EMA_NJDIEZ","edit"
"","persona","B'elejeb' Kej (gen. 9)","B'ELEJEB'_KEJ_NJNUEVE","Beleheb quih","B'ELEJEB'_KEJ_NJNUEVE","edit"
"","persona","K'otuja (gen. 8)","K'OTUJA_NJOCHO","Cotuha chivi","K'OTUJA_NJOCHO","edit"
"","persona","B'atz'a (gen. 6)","B'ATZ'A_NJSEIS","Batza","B'ATZ'A_NJSEIS","edit"
"","linaje","K'ochajuj","K'OCHAJUJ","cochahuh","K'OCHAJUJ","edit"
"","linaje","K'o'akul","K'O'AKUL","Coacul","K'O'AKUL","edit"
"","persona","Salmanasar","SALMANASAR","","SALMANASAR","edit"
"","topónimo","San Anton Ilokab'","SAN_ANTON_ILOKAB'","","SAN_ANTON_ILOKAB'","edit"
"","grupo de deidades","Jun B'atz' Jun Chowen","JUN_B'ATZ'_JUN_CHOWEN","hun batz hun chouen","JUN_B'ATZ'_JUN_CHOWEN","edit"
"","linaje","Amaq' Tam","AMAQ'_TAM","amac Dan","AMAQ'_TAM","edit"
"","persona","jun winaq","JUN_WINAQ","hun vinac (Demonium loquens cis) ","JUN_WINAQ","edit"
"","persona","Wuqub' No'j (gen. 11)","WUQUB'_NO'J_KQONCE","Vucub noh","WUQUB'_NO'J_KQONCE","edit"
"","persona","Kuwatepech (gen. 11)","KUWATEPECH_KQONCE","cauatepech ","KUWATEPECH_KQONCE","edit"
"","oficio","Nima K'amja","NIMA_K'AMJA","Nima camha","NIMA_K'AMJA","edit"
"","oficio","Utza'm Achij","UTZA'M_ACHIJ","vtzam achih ","UTZA'M_ACHIJ","edit"
"","oficio","Nim Ch'okoj Kaweq","NIM_CH'OKOJ_KAWEQ","nim chocoh cavec ","NIM_CH'OKOJ_KAWEQ","edit"
"","oficio","Nim Ch'okoj Nija'ib'","NIM_CH'OKOJ_NIJA'IB'","Nim chocoh nihaib, nimchocoh nihaibab ","NIM_CH'OKOJ_NIJA'IB'","edit"
"","persona","Tekum (gen. 9)","TEKUM_KQNUEVE","Tecum","TEKUM_KQNUEVE","edit"
"","oficio","Popol Winaq chi T'uy","POPOL_WINAQ_CHI_T'UY","popol vinac ","POPOL_WINAQ_CHI_T'UY","edit"
