folio|side|para_num|lb|lb_str|lb_str_plain
2|2|7|36|"<rs ana=""JUN_RAQAN"">huracan</rs>, <rs ana=""CH'IPI_KAQULJA"">chípí caculha</rs>, <rs ana=""RAXA_KAQULJA"">raxa caculha</rs>"|huracan, chípí caculha, raxa caculha
2|2|7|37|"<rs ana=""UK'U'X_KAJ"">vquxcah</rs>, <rs ana=""UK'U'X_ULEW"">vquxuleu</rs>, <rs ana=""TZ'AQOL"">formadores</rs>, <rs ana=""B'ITOL"">cría"|vquxcah, vquxuleu, formadores, cría
2|2|7|38|"dores</rs>, <rs ana=""ALOM"">madres</rs>, y <rs ana=""K'AJOLOM"">Padres</rs>. hablad, ínvo<pc> –</pc>"|dores, madres, y Padres. hablad, ínvo–
3|1|7|1|"cadnos, saludadnos seles fue dicho. y no pu <note place=""margin-right"" type=""pagination"" anchored=""true""><num rend=""large"">3</num></note>"|cadnos, saludadnos seles fue dicho. y no pu 3
3|1|7|2|"dieron hablar como los hombres; síno <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>chí<pc> –</pc>"|dieron hablar como los hombres; síno q’quechí–
3|1|7|3|llaron, y cacaraquearon, y grítaron dizí<pc> –</pc>|llaron, y cacaraquearon, y grítaron dizí–
3|1|7|4|"endo voh, voh. no aparezío su habla, sino <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>"|endo voh, voh. no aparezío su habla, sino q’que
3|1|7|5|cadavno gríto, y chíllo diferentemente|cadavno gríto, y chíllo diferentemente
3|1|7|6|"y cuando <rs ana=""TZ'AQOL"">los formadores</rs> oyeron <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice> no ha<pc> –</pc>"|y cuando los formadores oyeron q’que no ha–
3|1|7|7|blaron dixeron otra vez entresí, no se pudo|blaron dixeron otra vez entresí, no se pudo
