folio|side|para|lb|lb_n|lb_str|lb_str_plain
3|1|7|16|16|mi xuꜩinic maui mi xixqha<pc> –</pc>|mi xutzinic maui mi xixqha–
3|1|7|17|17|vic, mi cu xcahal caꜩih iv<pc> –</pc>|vic, mi cu xcahal catzih iv–
3|1|7|18|18|echa i cuxun, ivarabal i ia<pc> –</pc>|echa i cuxun, ivarabal i ia–
3|1|7|19|19|calibal xivech vi mixeuxic|calibal xivech vi mixeuxic
3|1|7|20|20|zivan quechelah rumal ma<pc> –</pc>|zivan quechelah rumal ma–
3|1|7|21|21|vi xuꜩin caquihiloxic mavi|vi xutzin caquihiloxic mavi
3|1|7|22|22|ix ziquÿ que ca qo couilo qui<pc> –</pc>|ix ziqui que ca qo couilo qui–
3|1|7|23|23|hilonel nimanel chi caban chic|hilonel nimanel chi caban chic
3|1|7|24|24|"xa chicam i patan <add instant=""false"" status=""unremarkable"">y</add> xa i tiohil"|xa chicam i patan y xa i tiohil
3|1|7|25|25|chica chic ta chuxoc. <!--editor's note: Ajtz'ib'ab' adds a paragraph. Corresponds to paragraph 14 in Ajtz'ib'ab' --> are cut|chica chic ta chuxoc.  are cut
3|1|7|26|26|chipatanih, xevqhaxic ta xe|chipatanih, xevqhaxic ta xe
3|1|7|27|27|pixabaxic chuti chicop nima|pixabaxic chuti chicop nima
3|1|7|28|28|chicop qo chuvach vleu. ta|chicop qo chuvach vleu. ta
3|1|7|29|29|xrah cu quitih chic qui quih|xrah cu quitih chic qui quih
3|1|7|30|30|xrah quitihtobeh chic, xrah|xrah quitihtobeh chic, xrah
3|1|7|31|31|pu quinuc chic quihilabal|pu quinuc chic quihilabal
3|1|7|32|32|xma xquita vi qui qhabal|xma xquita vi qui qhabal
3|1|7|33|33|chiquibil quib. xma xnaua<pc> –</pc>|chiquibil quib. xma xnaua–
3|1|7|34|34|chir vi cut, xma xbanatahvi|chir vi cut, xma xbanatahvi
3|1|7|35|35|puch, quehe cut xechacatah|puch, quehe cut xechacatah
3|1|7|36|36|vi quitiohil, xquipatanih xe|vi quitiohil, xquipatanih xe
3|1|7|37|37|tÿc, xecamizaxic, ri chicop qo|tic, xecamizaxic, ri chicop qo
3|1|7|38|38|varal chuvach vleuh, que|varal chuvach vleuh, que
3|1|7|39|39|he cut v tihtobexic chic vinac|he cut v tihtobexic chic vinac
3|1|7|40|40|"ꜩac vinac bit cumal <rs ana=""TZ'AQOL"">ꜩacol</rs>"|tzac vinac bit cumal tzacol
3|1|7|41|41|"<rs ana=""B'ITOL"">bitol</rs> <rs ana=""ALOM"">alom</rs>, <rs ana=""K'AJOLOM"">qaholom</rs> xa ca"|bitol alom, qaholom xa ca
3|1|7|42|42|tiha chic, mi xyopih ravaxic|tiha chic, mi xyopih ravaxic
3|1|7|43|43|v zaquiric cabana ꜩucul que|v zaquiric cabana tzucul que
3|1|7|44|44|cool que hupacha ta coh|cool que hupacha ta coh
3|1|7|45|45|ziquixoc, ta cohnabax puch|ziquixoc, ta cohnabax puch
3|1|7|46|46|chuvach vleuh. mi xcatiho|chuvach vleuh. mi xcatiho
3|1|7|47|47|chirech rinabe ca ꜩac, ca|chirech rinabe ca tzac, ca
3|2|7|1|1|bit <!-- editor's note: Ajtz'ib'ab' adds a paragraph here. Corresponds to paragraph 15 in Ajtz'ib'ab' -->maui mi xuꜩinic ca quihilo<pc> –</pc>|bit maui mi xutzinic ca quihilo–
3|2|7|2|2|xic, ca calaixic puch cumal, que<pc> –</pc>|xic, ca calaixic puch cumal, que–
3|2|7|3|3|he cut catiha vi vbanic ah nim|he cut catiha vi vbanic ah nim
