entity_id,label,type,lang,form
CHAMCHAM,Chamcham,objeto,spa,CHAM CHAM
CHAYIM_JA,Chayim Ja,topónimo,quc,CHAYIM JA
CHAYIM_JA,Chayim Ja,topónimo,eng,BLADE HOUSE
CHAYIM_JA,Chayim Ja,topónimo,eng,RAZOR HOUSE
CHAYIM_JA,Chayim Ja,topónimo,spa,CASA DE NAVAJAS
CHE',Che',objeto,quc,CHE'
CHE',Che',objeto,eng,TREE
CHE',Che',objeto,spa,ARBOL
CHI_CHAQ',Chi Chaq',topónimo,quc,CHI CHAQ'
CHI_CHAQ',Chi Chaq',topónimo,eng,WOUND
CHI_CHAQ',Chi Chaq',topónimo,eng,THORN PLACE
CHI_CHAQ',Chi Chaq',topónimo,spa,CHÍCHAT
CHI_ISMACHI',Chi Ismachi',topónimo,quc,CHI ISMACHI'
CHI_ISMACHI',Chi Ismachi',topónimo,eng,CHI IZMACHI
CHI_ISMACHI',Chi Ismachi',topónimo,spa,"CHÍ ÍZMACHÍ, ÍZMACHÍ"
CHI_JUNAJPU,Chi Junajpu,topónimo,quc,CHI JUNAJPU
CHI_JUNAJPU,Chi Junajpu,topónimo,eng,HUNAHPU PLACE
CHI_JUNAJPU,Chi Junajpu,topónimo,spa,CHÍ HUN AHPU
CHI_K'IX,Chi K'ix,topónimo,quc,CHI K'IX
CHI_K'IX,Chi K'ix,topónimo,eng,THORNY PLACE
CHI_K'IX,Chi K'ix,topónimo,spa,QUIX
CHI_PIXAB',Chi Pixab',topónimo,quc,CHI PIXAB'
CHI_PIXAB',Chi Pixab',topónimo,eng,PLACE OF COUNSEL OR INSTRUCTION
CHI_PIXAB',Chi Pixab',topónimo,spa,ÇERRO DE EL MANDARO
CHI_Q'AQ',Chi q'aq',topónimo,quc,CHI Q'AQ'
CHI_Q'AQ',Chi q'aq',topónimo,eng,CHIGAG (MOUTH FIRE
CHI_Q'AQ',Chi q'aq',topónimo,eng,VOLCANO OF FIRE)
CHI_Q'AQ',Chi q'aq',topónimo,spa,EL ZERRO
CHI_RATINIB'AL_TOJIL,Chi Ratinib'al Tojil,topónimo,quc,CHI RATINIB'AL TOJIL
CHI_RATINIB'AL_TOJIL,Chi Ratinib'al Tojil,topónimo,eng,BATH OF TOHIL
CHI_RATINIB'AL_TOJIL,Chi Ratinib'al Tojil,topónimo,spa,BAÑO DE EL TOHÍL
CHICHICASTENANGO,Chichicastenango,lugar,quc,CHICHICASTENANGO
CHICHICASTENANGO,Chichicastenango,lugar,eng,SANTO TOMÁS CHICHICASTENANGO
CHICHICASTENANGO,Chichicastenango,lugar,spa,EL REAL PATRONATO DEL PUEBLO DE STO. THOMAS CHÍCHÍCASTENANGO
CHILAM_B'ALAM,Chilam B'alam,objeto,quc,CHILAM B'ALAM
CHIMALMAT,Chimalmat,deidad,quc,CHIMALMAT
CHIMALMAT,Chimalmat,deidad,spa,CHIMALMAT
CHITEMAJ,Chitemaj,topónimo,quc,CHITEMAJ
CHITEMAJ,Chitemaj,topónimo,eng,AT THE TILT
CHITEMAJ,Chitemaj,topónimo,eng,SLOPE
CHITEMAJ,Chitemaj,topónimo,spa,CHÍTEMAH
CHIYOM,Chiyom,objeto,quc,CHIYOM
CHIYOM,Chiyom,objeto,eng,MACAW FEATHERS
CHIYOM,Chiyom,objeto,spa,CHÍYOM
CHOLOCHIK_AB'AJ,Cholochik Ab'aj,lugar,quc,CHOLOCHIK AB'AJ
CHOLOCHIK_AB'AJ,Cholochik Ab'aj,lugar,eng,LINED UP STONES
CHOLOCHIK_AB'AJ,Cholochik Ab'aj,lugar,spa,PÍEDRAS EN RÍNGLERA
CHOMI_JA',Chomi Ja',persona,quc,CHOMI JA'
