chap_num,line_num,eng_str,quc_str
5,385,“Not it came out well,“Mawi mi xutzinik
5,386,"They spoke,”","Mi xech'awik,”"
5,387,They said then to each other:,Xecha' chik chi kib'il kib':
5,388,“Not it came out well,“Mawi mi xutzin
5,389,Its speaking our names by them.,U b'ixik qa b'i' rumal.
5,390,"We their Framer,","Oj Kaj Tz'aq,"
5,391,"We also their Shaper,","Oj pu Kaj B'it,"
5,392,"Not good,” they said then to each other,","Mawi utz,” xcha' chik chi kib'il kib',"
5,393,"The She Who Has Borne Children,","Ri Alom,"
5,394,He Who Has Begotten Sons.,K'ajolom.
5,395,They were told therefore:,Xe'uchax k'ut:
5,396,"“Merely you are replaced,",“Xa kixjalatajik
5,397,"Because not succeeded,","Rumal mawi mi xutzinik,"
5,398,Not you spoke.,Mawi mi xixch'awik.
5,399,Therefore we changed our word.,Mi k'u xqajal qa tzij.
5,400,"Your food,","Iwecha',"
5,401,"Your sustenance,","I k'uxun,"
5,402,"Your sleeping places,","I warab'al,"
5,403,Your resting places.,I yakalib'al.
5,404,What belonged to you,Xiwech wi
5,405,Came to be,Mi xe'uxik
5,406,"Canyons,","Siwan,"
5,407,Forests.,K'eche'laj.
5,408,"Because not was successful our being worshiped,","Rumal mawi xutzin qa q'ijiloxik,"
5,409,Not you callers of us.,Mawi ix sik'iy qe.
5,410,"Yet there is,","K'a k'o,"
5,411,"There is perhaps,","K'o wi lo,"
5,412,"Worshiper,","Q'ijilonel,"
5,413,"Honorer we will make now,","Nimanel chiqab'an chik,"
5,414,Merely you will receive your service.,Xa chik'am i patan.
5,415,Merely your flesh will be chewed.,Xa i tio'jil chikach'ik.
5,416,Then be it so.,Ta chuxoq.
5,417,"This therefore you will serve,”","Are' k'ut chipatanij,”"
5,418,They were told.,Xe'uchaxik.
5,419,"When they were commanded,","Ta xepixab'axik,"
5,420,"Small animals,","Ch'uti chikop,"
5,421,Large animals that are upon its face earth.,Nima chikop k'o chuwach ulew.
5,422,"Then they wanted therefore to try again their day,","Ta xraj k'u kitij chik ki q'ij,"
5,423,"They wanted to make an attempt again,","Xraj kitijitob'ej chik,"
5,424,They wanted also to arrange again worship.,Xraj pu kinuk' chik q'ijilab'al.
5,425,"It wasn't heard their speech to each other,","Xma xkita wi ki ch'ab'al chi kib'il kib',"
5,426,"It wasn't successful therefore,","Xma xnawachir wi k'ut,"
5,427,It wasn't made to be as well.,Xma xb'anataj wi puch.
5,428,"Thus was defeated their flesh,","Keje' k'ut xech'akataj wi ki tio'jil,"
5,429,"They served,","Xkipatanij,"
5,430,"They were eaten,","Xeti'ik,"
5,431,"They were killed,","Xekamisaxik,"
5,432,The animals that are here,Ri chikop k'o waral
5,433,On its face earth.,Chuwach ulew.
6,434,"THUS its being attempted again people framed,","KEJE' k'ut u tijtob'exik chik winaq tz'aq,"
6,435,"People shaped,","Winaq b'it,"
6,436,"By Framer,","Kumal Tz'aqol,"
6,437,"Shaper,","B'itol,"
6,438,"She Who Has Borne Children,","Alom,"
6,439,He Who Has Begotten Sons.,K'ajolom.
6,440,“Merely let us try again.,“Xa qa tija' chik.
6,441,Approached,Mi xyopij
6,442,"Its sowing,","Rawaxik,"
6,443,Its dawning.,U saqirik.
6,444,"We shall make provider ours,","Qa b'ana' tzuqul qe,"
6,445,Sustainer ours.,Q'o'l qe.
6,446,"How then may we be called upon,","Jupacha ta kojsik'ixoq,"
6,447,That we be remembered also on its face earth?,Ta kojna'b'ax puch chuwach ulew?
6,448,"We tried it to the first our framing,","Mi xqatijo chirech ri nab'e qa tz'aq,"
6,449,Our shaping.,Qa b'it.
6,450,"Not did it succeeded our being worshiped,","Mawi mi xutzinik qa q'ijiloxik,"
6,451,Our being revered also by them.,Qa q'ala'ixik puch kumal.
6,452,Thus let us try,Keje' k'ut qa tija' wi
6,453,Its making,U b'anik
6,454,"Honorer,","Aj nim,"
6,455,"Respecter,","Aj xob',"
6,456,"Provider,","Tzuqul,"
6,457,"Sustainer,” they said.","Q'o'l,” xecha'."
6,458,"Then its framing therefore,","Ta u tz'aqik k'ut,"
6,459,Its making as well.,U b'anik puch.
6,460,"Earth,","Ulew,"
6,461,Mud,Xoq'o'l
6,462,Its flesh they made.,U tio'jil xkib'ano.
6,463,Not therefore good they saw it.,Ma k'u utz xkilo.
6,464,"Merely it would come undone,","Xa chiyojomanik,"
6,465,"Merely crumbled,","Xa tzub'ulik,"
6,466,"Merely sodden,","Xa neb'elik,"
6,467,"Merely mushy,","Xa lub'anik,"
6,468,"Merely fallen apart,","Xa wulanik,"
6,469,Merely as well it would dissolve.,Xa pu chi'umarik.
6,470,Not then set apart its head.,Mawi chi k'olol u jolom.
6,471,"Merely one direction its face,","Xa jun b'enaq wi u wach,"
6,472,"Merely hidden its face,","Xa k'u'l u wach,"
6,473,Not would it look about.,Mawi chimuqun chirij.
6,474,"It would speak at first,","Chich'aw nab'ek,"
6,475,There is not its thought.,Maja b'i u na'oj.
6,476,Merely straightaway it would dissolve in water.,Xa ju suk' chi'umar pa ja'.
6,477,Not strong.,Mawi ko.
6,478,"They said then therefore the Framer,","Xecha' chi k'u ri Aj Tz'aq,"
6,479,Shaper:,Aj B'it:
6,480,"“We have made a mistake,","“Qa wachlab'eq,"
6,481,Then let it become merely mistake.,Ta chuxoq xa lab'e.
6,482,"Not would it walk,","Mawi chib'inik,"
6,483,Not also would it be multiplied.,Ma pu chipoq'otajik.
6,484,Then be it so.,Ta chuxoq.
6,485,"Merely thing of no importance this,” they said.","Xa u na'oj chi ri',” xecha'."
6,486,"Then they undid it therefore,","Ta xkiyoj k'ut,"
6,487,They toppled it again,Xkiyoq' chik
6,488,"The their framing,","Ri ki tz'aq,"
6,489,Their shaping.,Ki b'it.
6,490,They said again therefore:,Xecha' chi k'ut:
6,491,“How truly will we make it.,“Jupacha qi chiqab'ano.
6,492,"May it succeed,","Chutzin ta wi,"
6,493,"May it bear fruit,","Chinawachir ta wi,"
6,494,"Worshiper of us,","Q'ijiloy qech,"
6,495,Caller upon us?” they said.,Sik'iy qech?” xecha'.
6,496,Then they thought again:,Ta xkina'ojij chik:
6,497,“Merely we shall tell them,“Xa qab'ij chike
6,498,"Xpiyacoc,","Xpiyakok,"
6,499,"Xmucane,","Xmuqane,"
6,500,"Hunahpu Possum,","Junajpu Wuch',"
6,501,Hunahpu Coyote:,Junajpu Utiw:
6,502,"‘Try again its divination,","‘Kitija' chik u q'ijixik,"
6,503,"Its being shaped,’”","U b'itaxik,’”"
6,504,"They spoke to each other,","Xe'ucha'n ki kib',"
6,505,"Framer,","Aj Tz'aq,"
6,506,Shaper.,Aj B'it.
6,507,Then they said therefore to,Ta xkib'ij k'ut chire
6,508,"Xpiyacoc,","Xpiyakok,"
6,509,Xmucane.,Xmuqane.
6,510,"Then therefore their speech this to them,","K'ate k'ut u b'ixik ri' chikech,"
6,511,The seers:,Ri e nik'wachinel:
6,512,"“Its Grandmother Day,","“Rati't Q'ij,"
6,513,"Its Grandmother Light,”","Rati't Saq,”"
6,514,"They are spoken to by the Framer,","Ke'uchaxik kumal ri Tz'aqol,"
6,515,Shaper.,B'itol.
6,516,"These their names the Xpiyacoc,","Are' ki b'i' ri Xpiyakok,"
6,517,Xmucane.,Xmuqane.
7,518,THEY spoke therefore,XECHA' k'u
7,519,"The Huracan,","Ri Juraqan,"
7,520,"With Sovereign,","Ruk' Tepew,"
7,521,Quetzal Serpent.,Q'ukumatz.
7,522,"Then they said to Master of Days,","Ta xkib'ij chirech Aj Q'ij,"
7,523,"Mistress of Shaping, they seers:","Aj B'it, e nik'wachinel:"
7,524,"“Merely it shall be found,","“Xa k'ulu',"
7,525,"Merely as well it shall be discovered,","Xa pu churiqo,"
7,526,How then again,Che ta chik
7,527,"We will create people shaped,","Chiqawinaq b'itoj,"
7,528,"We will create people framed,","Chiqawinaq tz'aqoj,"
7,529,"Then again,","Ta chik,"
7,530,"Provider,","Tzuqul,"
7,531,Sustainer.,Q'o'l.
7,532,"May we be called upon,","Kojsik'ix taj,"
7,533,May we be remembered also.,Kojna'b'ax taj puch.
7,534,They support then therefore,Katoq' ta k'ut
7,535,"In words,","Pa tzij,"
7,536,"Midwife,","I'yom,"
7,537,"Patriarch,","Mamom,"
7,538,"Our Grandmother,","Qati't,"
7,539,"Our Grandfather,","Qa mam,"
7,540,"Xpiyacoc,","Xpiyakok,"
