line_num,spa_str,quc_str,line_marker
469,Merely as well it would dissolve.,Xa pu chi'umarik.,
470,Not then set apart its head.,Mawi chi k'olol u jolom.,470
471,"Merely one direction its face,","Xa jun b'enaq wi u wach,",
472,"Merely hidden its face,","Xa k'u'l u wach,",
473,Not would it look about.,Mawi chimuqun chirij.,
474,"It would speak at first,","Chich'aw nab'ek,",
475,There is not its thought.,Maja b'i u na'oj.,
476,Merely straightaway it would dissolve in water.,Xa ju suk' chi'umar pa ja'.,
477,Not strong.,Mawi ko.,
478,"They said then therefore the Framer,","Xecha' chi k'u ri Aj Tz'aq,",
479,Shaper:,Aj B'it:,
480,"“We have made a mistake,","“Qa wachlab'eq,",480
481,Then let it become merely mistake.,Ta chuxoq xa lab'e.,
482,"Not would it walk,","Mawi chib'inik,",
483,Not also would it be multiplied.,Ma pu chipoq'otajik.,
484,Then be it so.,Ta chuxoq.,
485,"Merely thing of no importance this,” they said.","Xa u na'oj chi ri',” xecha'.",
486,"Then they undid it therefore,","Ta xkiyoj k'ut,",
487,They toppled it again,Xkiyoq' chik,
488,"The their framing,","Ri ki tz'aq,",
489,Their shaping.,Ki b'it.,
490,They said again therefore:,Xecha' chi k'ut:,490
491,“How truly will we make it.,“Jupacha qi chiqab'ano.,
492,"May it succeed,","Chutzin ta wi,",
493,"May it bear fruit,","Chinawachir ta wi,",
494,"Worshiper of us,","Q'ijiloy qech,",
495,Caller upon us?” they said.,Sik'iy qech?” xecha'.,
496,Then they thought again:,Ta xkina'ojij chik:,
497,“Merely we shall tell them,“Xa qab'ij chike,
498,"Xpiyacoc,","Xpiyakok,",
499,"Xmucane,","Xmuqane,",
500,"Hunahpu Possum,","Junajpu Wuch',",500
501,Hunahpu Coyote:,Junajpu Utiw:,
502,"‘Try again its divination,","‘Kitija' chik u q'ijixik,",
503,"Its being shaped,’”","U b'itaxik,’”",
504,"They spoke to each other,","Xe'ucha'n ki kib',",
505,"Framer,","Aj Tz'aq,",
506,Shaper.,Aj B'it.,
507,Then they said therefore to,Ta xkib'ij k'ut chire,
508,"Xpiyacoc,","Xpiyakok,",
509,Xmucane.,Xmuqane.,
510,"Then therefore their speech this to them,","K'ate k'ut u b'ixik ri' chikech,",510
511,The seers:,Ri e nik'wachinel:,
512,"“Its Grandmother Day,","“Rati't Q'ij,",
513,"Its Grandmother Light,”","Rati't Saq,”",
514,"They are spoken to by the Framer,","Ke'uchaxik kumal ri Tz'aqol,",
515,Shaper.,B'itol.,
516,"These their names the Xpiyacoc,","Are' ki b'i' ri Xpiyakok,",
517,Xmucane.,Xmuqane.,
518,THEY spoke therefore,XECHA' k'u,
519,"The Huracan,","Ri Juraqan,",
520,"With Sovereign,","Ruk' Tepew,",520
521,Quetzal Serpent.,Q'ukumatz.,
522,"Then they said to Master of Days,","Ta xkib'ij chirech Aj Q'ij,",
523,"Mistress of Shaping, they seers:","Aj B'it, e nik'wachinel:",
524,"“Merely it shall be found,","“Xa k'ulu',",
525,"Merely as well it shall be discovered,","Xa pu churiqo,",
526,How then again,Che ta chik,
527,"We will create people shaped,","Chiqawinaq b'itoj,",
528,"We will create people framed,","Chiqawinaq tz'aqoj,",
529,"Then again,","Ta chik,",
530,"Provider,","Tzuqul,",530
531,Sustainer.,Q'o'l.,
532,"May we be called upon,","Kojsik'ix taj,",
533,May we be remembered also.,Kojna'b'ax taj puch.,
534,They support then therefore,Katoq' ta k'ut,
535,"In words,","Pa tzij,",
536,"Midwife,","I'yom,",
537,"Patriarch,","Mamom,",
538,"Our Grandmother,","Qati't,",
539,"Our Grandfather,","Qa mam,",
540,"Xpiyacoc,","Xpiyakok,",540
541,Xmucane.,Xmuqane.,
542,"May it be spoken,","Cha' taj,",
543,Then may it be sown.,Ta chawaxoq.,
544,"Then may it dawn,","Ta saqiroq,",
545,"Our being called upon,","Qa sik'ixik,",
546,"Our being supported,","Qa toq'exik,",
547,Our being remembered,Qa na'b'axik,
548,"By people framed,","Rumal winaq tz'aq,",
549,"People shaped,","Winaq b'it,",
550,"People effigies,","Winaq poy,",550
551,People forms.,Winaq anom.,
552,Listen!,Chata!,
553,Be it so!,Chuxoq!,
554,Reveal your names:,Chik'utun i b'i':,
555,"Hunahpu Possum,","Junajpu Wuch',",
556,"Hunahpu Coyote,","Junajpu Utiw,",
557,"Twice She Who Has Borne Children,","Kamul Alom,",
558,"Twice He Who Has Begotten Sons,","Kamul K'ajolom,",
559,"Great Peccary,","Nim Aq,",
560,"Great Coati,","Nima Sis,",560
561,"Jeweler,","Aj K'uwal,",
562,"Worker in Precious Stones,","Aj Yamanik,",
563,"Sculptor,","Aj Ch'ut,",
564,"Wood Worker,","Aj Tz'alam,",
565,"Creator of Blue/Green Plate,","Aj Raxa Laq,",
566,"Creator of Blue/Green Bowl,","Aj Raxa Sel,",
567,"Creator of Pine Resin Incense,","Aj Q'ol,",
568,"Master Artist,","Aj Toltecat,",
569,"Its Grandmother Day,","Rati't Q'ij,",
570,Its Grandmother Light.,Rati't Saq.,570
571,"You all are spoken to by our framing,","Kixuchaxik rumal qa tz'aq,",
572,Our shaping.,Qa b'it.,
573,"Cast with grains of maize,","Chimala' chi ixim,",
574,"Of tz'ite,","Chi tz'ite,",
575,"Merely it will be made,","Xa chib'anatajik,",
576,"Merely also it will come out,","Xa pu chel apanoq,",
